date,product,qty,sales,region
2025-03-04,Keyboard,1,40,East
2025-03-04,Headphones,4,240,North
2025-03-04,Mouse,3,75,South
2025-03-04,Headphones,3,180,East
2025-03-04,Headphones,4,240,North
2025-03-04,Keyboard,4,160,West
2025-03-04,Headphones,2,120,North
2025-03-04,Phone,4,2000,West
2025-03-04,Monitor,2,400,South
2025-03-04,Keyboard,1,40,North
2025-03-04,Keyboard,2,80,South
2025-03-04,Mouse,4,100,North
2025-03-04,Laptop,3,2400,East
2025-03-04,Phone,4,2000,West
2025-03-04,Keyboard,4,160,East
2025-03-04,Monitor,2,400,East
2025-03-04,Monitor,3,600,West
2025-03-04,Keyboard,4,160,North
2025-03-04,Headphones,1,60,East
2025-03-04,Mouse,1,25,East
2025-03-04,Phone,4,2000,North
2025-03-04,Keyboard,2,80,South
2025-03-04,Phone,1,500,South
2025-03-04,Mouse,2,50,West
2025-03-04,Keyboard,3,120,West
2025-03-04,Keyboard,1,40,West
2025-03-05,Headphones,2,120,North
2025-03-05,Keyboard,2,80,West
2025-03-05,Keyboard,2,80,South
2025-03-05,Monitor,2,400,South
2025-03-05,Keyboard,2,80,North
2025-03-05,Phone,2,1000,West
2025-03-05,Phone,2,1000,South
2025-03-05,Keyboard,2,80,East
2025-03-05,Monitor,3,600,West
2025-03-05,Laptop,2,1600,West
2025-03-05,Mouse,4,100,North
2025-03-05,Phone,3,1500,North
2025-03-05,Phone,1,500,West
2025-03-05,Keyboard,4,160,North
2025-03-05,Laptop,1,800,East
2025-03-05,Mouse,1,25,North
2025-03-05,Laptop,4,3200,North
2025-03-05,Keyboard,4,160,West
2025-03-05,Headphones,3,180,North
2025-03-05,Headphones,3,180,North
2025-03-05,Headphones,1,60,South
2025-03-05,Phone,1,500,West
2025-03-05,Laptop,4,3200,West
2025-03-05,Phone,1,500,West
2025-03-05,Monitor,4,800,North
2025-03-05,Headphones,4,240,West
2025-03-05,Monitor,3,600,East
2025-03-05,Laptop,3,2400,North
2025-03-05,Monitor,3,600,North
2025-03-05,Mouse,2,50,East
2025-03-05,Monitor,3,600,East
2025-03-05,Laptop,3,2400,East
2025-03-05,Phone,2,1000,West
2025-03-05,Mouse,3,75,East
2025-03-06,Laptop,4,3200,North
2025-03-06,Keyboard,2,80,North
